Lead_ID,Lead_Source,Total_Visits,Total_Time_Spent_on_Website,Last_Activity,Occupation,Email_Opened,Page_Views_Per_Visit,Lead_Age_Days,Converted,Lead_Score,Priority,Rank,AI_Action,AI_Reasons,AI_Urgency,AI_Channel,AI_OneLiner
LEAD-1111,Email Campaign,22,2816,Demo Requested,Working Professional,5,6.81,73,1,0.9882,High,1,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 22 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1082,Cold Call,25,1679,Demo Requested,Unemployed,7,4.86,74,1,0.9843,High,2,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 25 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1004,Cold Call,16,2559,Demo Requested,Student,10,7.4,37,1,0.9733,High,3,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1043,Referral,26,2703,Demo Requested,Working Professional,6,2.09,177,1,0.973,High,4,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 26 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1105,Cold Call,17,2569,Demo Requested,Working Professional,3,7.4,3,1,0.9667,High,5,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 17 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1080,Cold Call,25,2294,Demo Requested,Businessman,3,5.37,117,1,0.9663,High,6,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 25 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1022,Social Media,20,2617,Demo Requested,Unemployed,0,2.44,34,1,0.9653,High,7,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 20 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1009,Cold Call,27,2518,Page Visited,Unemployed,8,5.64,15,1,0.9595,High,8,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 27 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1109,Email Campaign,27,2489,No Activity,Other,7,4.88,125,1,0.9542,High,9,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 27 website visits | Activity signal: 'No Activity' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1108,Email Campaign,12,2809,Demo Requested,Student,9,2.92,120,1,0.9519,High,10,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 12 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1044,Referral,16,268,Demo Requested,Other,2,6.01,3,1,0.9503,High,11,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1198,Cold Call,26,884,Page Visited,Other,11,1.26,98,1,0.9502,High,12,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 26 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1158,Website,21,1892,No Activity,Businessman,9,6.6,168,1,0.9484,High,13,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 21 website visits | Activity signal: 'No Activity' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1152,Website,21,1649,Demo Requested,Other,10,6.1,40,1,0.9479,High,14,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 21 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Website' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1047,Cold Call,28,1129,Demo Requested,Unemployed,3,2.55,120,1,0.9475,High,15,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 28 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1176,Email Campaign,27,1821,Page Visited,Student,9,2.75,58,1,0.9466,High,16,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 27 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1098,Referral,21,550,Demo Requested,Other,2,1.98,61,1,0.9442,High,17,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 21 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1194,Social Media,25,2782,Demo Requested,Unemployed,10,7.03,155,1,0.9387,High,18,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 25 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1012,Cold Call,29,833,No Activity,Working Professional,8,2.04,93,1,0.9384,High,19,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 29 website visits | Activity signal: 'No Activity' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1107,Social Media,16,2849,Demo Requested,Working Professional,13,5.04,13,1,0.9381,High,20,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1165,Referral,22,977,No Activity,Working Professional,14,1.96,13,1,0.9364,High,21,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 22 website visits | Activity signal: 'No Activity' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1060,Referral,19,2838,No Activity,Student,0,6.81,37,1,0.9348,High,22,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 19 website visits | Activity signal: 'No Activity' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1034,Email Campaign,25,1219,No Activity,Businessman,4,2.09,16,1,0.9347,High,23,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 25 website visits | Activity signal: 'No Activity' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1150,Website,17,616,Email Opened,Other,8,1.75,40,1,0.9336,High,24,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 17 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1036,Email Campaign,18,876,No Activity,Working Professional,7,7.03,10,1,0.9321,High,25,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 18 website visits | Activity signal: 'No Activity' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1021,Cold Call,19,2361,Page Visited,Working Professional,5,7.29,170,1,0.9308,High,26,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 19 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1136,Social Media,17,2444,Page Visited,Other,4,4.96,146,1,0.9286,High,27,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 17 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1056,Social Media,23,1369,Demo Requested,Unemployed,3,1.7,49,1,0.9266,High,28,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 23 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1064,Referral,20,1664,No Activity,Student,6,3.05,39,1,0.9239,High,29,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 20 website visits | Activity signal: 'No Activity' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1191,Cold Call,26,2502,Page Visited,Businessman,1,7.8,39,1,0.923,High,30,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 26 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1171,Website,18,1548,Demo Requested,Working Professional,4,6.13,155,1,0.9218,High,31,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 18 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Website' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1067,Referral,24,512,Demo Requested,Student,3,1.6,88,1,0.9218,High,32,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 24 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1065,Social Media,24,1081,Demo Requested,Working Professional,0,7.27,63,1,0.92,High,33,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 24 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1130,Email Campaign,28,1636,Page Visited,Unemployed,11,2.72,124,1,0.9179,High,34,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 28 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1186,Cold Call,16,1635,Form Submitted,Businessman,9,7.41,82,1,0.9179,High,35,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1145,Social Media,28,775,No Activity,Other,5,1.36,62,1,0.9175,High,36,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 28 website visits | Activity signal: 'No Activity' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1042,Social Media,16,2983,Demo Requested,Unemployed,2,1.18,65,1,0.9162,High,37,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1024,Website,20,1715,No Activity,Businessman,14,1.26,13,1,0.913,High,38,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 20 website visits | Activity signal: 'No Activity' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1101,Website,24,1757,Demo Requested,Working Professional,9,4.68,178,1,0.913,High,39,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 24 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Website' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1118,Website,19,2305,No Activity,Businessman,11,5.2,67,1,0.9101,High,40,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 19 website visits | Activity signal: 'No Activity' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1159,Email Campaign,23,2504,No Activity,Other,13,5.86,92,1,0.9092,High,41,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 23 website visits | Activity signal: 'No Activity' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1139,Cold Call,28,2546,No Activity,Student,9,7.56,176,1,0.9088,High,42,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 28 website visits | Activity signal: 'No Activity' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1008,Email Campaign,28,1906,No Activity,Student,3,1.09,39,1,0.9082,High,43,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 28 website visits | Activity signal: 'No Activity' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1131,Cold Call,29,1291,Form Submitted,Other,11,3.73,38,1,0.906,High,44,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 29 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1173,Social Media,22,2264,Email Opened,Student,8,5.61,7,1,0.9043,High,45,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 22 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1086,Website,18,1092,Email Opened,Businessman,12,6.35,3,1,0.9041,High,46,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 18 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1112,Cold Call,23,1015,Form Submitted,Student,7,2.44,68,1,0.9029,High,47,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 23 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1162,Cold Call,18,2786,Page Visited,Businessman,6,3.53,59,1,0.9015,High,48,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 18 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1046,Referral,20,635,No Activity,Unemployed,9,1.19,142,1,0.9009,High,49,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 20 website visits | Activity signal: 'No Activity' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1137,Referral,17,11,Email Opened,Student,7,4.33,37,1,0.9004,High,50,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 17 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1029,Social Media,18,2660,Form Submitted,Other,0,4.17,123,1,0.8975,High,51,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 18 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1172,Referral,15,2326,Email Opened,Other,14,6.65,166,1,0.896,High,52,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 15 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
